"Area Name","Area Type","Year","Month","Seasonally Adjusted(Y/N)","Status","Labor Force","Employment","Unemployment","Unemployment Rate"
"California","State","1990","Annual","N","Final","15141700","14267900","873800","5.8"
"Alameda County","County","1990","Annual","N","Final","677200","649800","27400","4"
"Alpine County","County","1990","Annual","N","Final","380","340","40","9.6"
"Amador County","County","1990","Annual","N","Final","11450","10860","590","5.2"
"Butte County","County","1990","Annual","N","Final","78800","72200","6600","8.4"
"Calaveras County","County","1990","Annual","N","Final","13440","12530","910","6.8"
"Colusa County","County","1990","Annual","N","Final","8000","6860","1140","14.2"
"Contra Costa County","County","1990","Annual","N","Final","435200","417800","17400","4"
"Del Norte County","County","1990","Annual","N","Final","9610","8450","1150","12"
"El Dorado County","County","1990","Annual","N","Final","63800","61000","2800","4.5"
"Fresno County","County","1990","Annual","N","Final","328500","290400","38100","11.6"
"Glenn County","County","1990","Annual","N","Final","11250","9840","1400","12.4"
"Humboldt County","County","1990","Annual","N","Final","56200","51800","4400","7.9"
"Imperial County","County","1990","Annual","N","Final","47300","35200","12000","25.4"
"Inyo County","County","1990","Annual","N","Final","7010","6510","500","7.1"
"Kern County","County","1990","Annual","N","Final","256700","228800","27900","10.9"
"Kings County","County","1990","Annual","N","Final","37600","33400","4200","11.2"
"Lake County","County","1990","Annual","N","Final","19970","18200","1770","8.8"
"Lassen County","County","1990","Annual","N","Final","9980","9000","980","9.8"
"Los Angeles County","County","1990","Annual","N","Final","4505200","4237800","267300","5.9"
"Madera County","County","1990","Annual","N","Final","41500","35900","5600","13.4"
"Marin County","County","1990","Annual","N","Final","131900","128500","3300","2.5"
"Mariposa County","County","1990","Annual","N","Final","6770","6390","380","5.6"
"Mendocino County","County","1990","Annual","N","Final","38730","35790","2950","7.6"
"Merced County","County","1990","Annual","N","Final","76900","67000","9800","12.8"
"Modoc County","County","1990","Annual","N","Final","3760","3400","360","9.6"
"Mono County","County","1990","Annual","N","Final","5720","5380","340","5.9"
"Monterey County","County","1990","Annual","N","Final","172700","156000","16600","9.6"
"Napa County","County","1990","Annual","N","Final","56400","54100","2300","4.1"
"Nevada County","County","1990","Annual","N","Final","36020","34290","1730","4.8"
"Orange County","County","1990","Annual","N","Final","1352700","1305500","47100","3.5"
"Placer County","County","1990","Annual","N","Final","89500","85800","3800","4.2"
"Plumas County","County","1990","Annual","N","Final","9470","8530","940","9.9"
"Riverside County","County","1990","Annual","N","Final","536400","498100","38300","7.1"
"Sacramento County","County","1990","Annual","N","Final","522100","498300","23900","4.6"
"San Benito County","County","1990","Annual","N","Final","20900","18400","2500","12.1"
"San Bernardino County","County","1990","Annual","N","Final","635000","599300","35600","5.6"
"San Diego County","County","1990","Annual","N","Final","1214800","1158700","56000","4.6"
"San Francisco County","County","1990","Annual","N","Final","409300","393900","15400","3.8"
"San Joaquin County","County","1990","Annual","N","Final","227000","204500","22400","9.9"
"San Luis Obispo County","County","1990","Annual","N","Final","99700","95100","4600","4.6"
"San Mateo County","County","1990","Annual","N","Final","370100","360500","9700","2.6"
"Santa Barbara County","County","1990","Annual","N","Final","192500","183100","9400","4.9"
"Santa Clara County","County","1990","Annual","N","Final","852100","818500","33700","4"
"Santa Cruz County","County","1990","Annual","N","Final","135600","125900","9700","7.2"
"Shasta County","County","1990","Annual","N","Final","67700","61800","5800","8.6"
"Sierra County","County","1990","Annual","N","Final","1630","1450","180","10.9"
"Siskiyou County","County","1990","Annual","N","Final","19430","17060","2360","12.2"
"Solano County","County","1990","Annual","N","Final","164800","157000","7900","4.8"
"Sonoma County","County","1990","Annual","N","Final","206200","198300","8000","3.9"
"Stanislaus County","County","1990","Annual","N","Final","180300","159000","21300","11.8"
"Sutter County","County","1990","Annual","N","Final","33100","28500","4700","14.1"
"Tehama County","County","1990","Annual","N","Final","19920","17930","1990","10"
"Trinity County","County","1990","Annual","N","Final","5340","4680","660","12.4"
"Tulare County","County","1990","Annual","N","Final","145700","127800","17900","12.3"
"Tuolumne County","County","1990","Annual","N","Final","19860","18530","1330","6.7"
"Ventura County","County","1990","Annual","N","Final","366500","345400","21100","5.7"
"Yolo County","County","1990","Annual","N","Final","74000","68900","5100","6.8"
"Yuba County","County","1990","Annual","N","Final","22100","19800","2400","10.6"
"Anaheim-Santa Ana-Irvine MD","Metropolitan Area","1990","Annual","N","Final","1352700","1305500","47100","3.5"
"Bakersfield MSA","Metropolitan Area","1990","Annual","N","Final","256700","228800","27900","10.9"
"Chico MSA","Metropolitan Area","1990","Annual","N","Final","78800","72200","6600","8.4"
"El Centro MSA","Metropolitan Area","1990","Annual","N","Final","47300","35200","12000","25.4"
"Fresno MSA","Metropolitan Area","1990","Annual","N","Final","328500","290400","38100","11.6"
"Hanford-Corcoran MSA","Metropolitan Area","1990","Annual","N","Final","37600","33400","4200","11.2"
"Los Angeles-Long Beach-Glendale MD","Metropolitan Area","1990","Annual","N","Final","4505200","4237800","267300","5.9"
"Madera MSA","Metropolitan Area","1990","Annual","N","Final","41500","35900","5600","13.4"
"Merced MSA","Metropolitan Area","1990","Annual","N","Final","76900","67000","9800","12.8"
"Modesto MSA","Metropolitan Area","1990","Annual","N","Final","180300","159000","21300","11.8"
"Napa MSA","Metropolitan Area","1990","Annual","N","Final","56400","54100","2300","4.1"
"Oakland-Hayward-Berkeley MD","Metropolitan Area","1990","Annual","N","Final","1112400","1067600","44800","4"
"Oxnard-Thousand Oaks-Ventura MSA","Metropolitan Area","1990","Annual","N","Final","366500","345400","21100","5.7"
"Redding MSA","Metropolitan Area","1990","Annual","N","Final","67700","61800","5800","8.6"
"Riverside-San Bernardino-Ontario MSA","Metropolitan Area","1990","Annual","N","Final","1171400","1097400","74000","6.3"
"Sacramento--Roseville--Arden-Arcade MSA","Metropolitan Area","1990","Annual","N","Final","749500","713900","35500","4.7"
"Salinas MSA","Metropolitan Area","1990","Annual","N","Final","172700","156000","16600","9.6"
"San Diego-Carlsbad MSA","Metropolitan Area","1990","Annual","N","Final","1214800","1158700","56000","4.6"
"San Francisco-Redwood City-South San Francisco MD","Metropolitan Area","1990","Annual","N","Final","779400","754400","25100","3.2"
"San Jose-Sunnyvale-Santa Clara MSA","Metropolitan Area","1990","Annual","N","Final","873100","836900","36200","4.1"
"San Luis Obispo-Paso Robles-Arroyo Grande MSA","Metropolitan Area","1990","Annual","N","Final","99700","95100","4600","4.6"
"San Rafael MD","Metropolitan Area","1990","Annual","N","Final","131900","128500","3300","2.5"
"Santa Cruz-Watsonville MSA","Metropolitan Area","1990","Annual","N","Final","135600","125900","9700","7.2"
"Santa Maria-Santa Barbara MSA","Metropolitan Area","1990","Annual","N","Final","192500","183100","9400","4.9"
"Santa Rosa MSA","Metropolitan Area","1990","Annual","N","Final","206200","198300","8000","3.9"
"Stockton-Lodi MSA","Metropolitan Area","1990","Annual","N","Final","227000","204500","22400","9.9"
"Vallejo-Fairfield MSA","Metropolitan Area","1990","Annual","N","Final","164800","157000","7900","4.8"
"Visalia-Porterville MSA","Metropolitan Area","1990","Annual","N","Final","145700","127800","17900","12.3"
"Yuba City MSA","Metropolitan Area","1990","Annual","N","Final","55200","48200","7000","12.7"
"California","State","1991","Annual","N","Final","15130500","13949700","1180800","7.8"
"Alameda County","County","1991","Annual","N","Final","673300","636300","37000","5.5"
"Alpine County","County","1991","Annual","N","Final","360","310","50","13.4"
"Amador County","County","1991","Annual","N","Final","12010","11170","840","7"
"Butte County","County","1991","Annual","N","Final","79500","71600","7900","9.9"
"Calaveras County","County","1991","Annual","N","Final","14000","12680","1310","9.4"
"Colusa County","County","1991","Annual","N","Final","8120","6650","1470","18.1"
"Contra Costa County","County","1991","Annual","N","Final","435500","411400","24100","5.5"
"Del Norte County","County","1991","Annual","N","Final","9800","8590","1210","12.3"
"El Dorado County","County","1991","Annual","N","Final","65700","61300","4400","6.7"
"Fresno County","County","1991","Annual","N","Final","337900","292100","45800","13.5"
"Glenn County","County","1991","Annual","N","Final","11120","9350","1770","15.9"
"Humboldt County","County","1991","Annual","N","Final","56800","51800","5000","8.9"
"Imperial County","County","1991","Annual","N","Final","49100","36200","12900","26.3"
"Inyo County","County","1991","Annual","N","Final","7190","6480","710","9.8"
"Kern County","County","1991","Annual","N","Final","265400","232700","32700","12.3"
"Kings County","County","1991","Annual","N","Final","38700","33800","5000","12.8"
"Lake County","County","1991","Annual","N","Final","20970","18710","2250","10.7"
"Lassen County","County","1991","Annual","N","Final","10270","9190","1080","10.5"
"Los Angeles County","County","1991","Annual","N","Final","4449200","4092500","356600","8"
"Madera County","County","1991","Annual","N","Final","44400","37700","6700","15.1"
"Marin County","County","1991","Annual","N","Final","130900","125800","5100","3.9"
"Mariposa County","County","1991","Annual","N","Final","6960","6460","500","7.2"
"Mendocino County","County","1991","Annual","N","Final","38880","34720","4170","10.7"
"Merced County","County","1991","Annual","N","Final","77500","65300","12200","15.8"
"Modoc County","County","1991","Annual","N","Final","3890","3400","490","12.6"
"Mono County","County","1991","Annual","N","Final","5470","4810","660","12.1"
"Monterey County","County","1991","Annual","N","Final","171800","152100","19600","11.4"
"Napa County","County","1991","Annual","N","Final","55300","52100","3200","5.8"
"Nevada County","County","1991","Annual","N","Final","38470","35940","2520","6.6"
"Orange County","County","1991","Annual","N","Final","1321800","1251300","70500","5.3"
"Placer County","County","1991","Annual","N","Final","91300","85300","6000","6.5"
"Plumas County","County","1991","Annual","N","Final","9680","8600","1080","11.1"
"Riverside County","County","1991","Annual","N","Final","551400","495200","56300","10.2"
"Sacramento County","County","1991","Annual","N","Final","528500","493000","35500","6.7"
"San Benito County","County","1991","Annual","N","Final","21300","17800","3500","16.2"
"San Bernardino County","County","1991","Annual","N","Final","646000","592100","54000","8.4"
"San Diego County","County","1991","Annual","N","Final","1209800","1133000","76900","6.4"
"San Francisco County","County","1991","Annual","N","Final","405900","384000","22000","5.4"
"San Joaquin County","County","1991","Annual","N","Final","232000","203900","28200","12.1"
"San Luis Obispo County","County","1991","Annual","N","Final","96400","90500","5900","6.1"
"San Mateo County","County","1991","Annual","N","Final","367400","352600","14800","4"
"Santa Barbara County","County","1991","Annual","N","Final","195300","183600","11700","6"
"Santa Clara County","County","1991","Annual","N","Final","843600","794900","48700","5.8"
"Santa Cruz County","County","1991","Annual","N","Final","137500","125200","12300","9"
"Shasta County","County","1991","Annual","N","Final","68400","60900","7500","11"
"Sierra County","County","1991","Annual","N","Final","1650","1470","180","10.9"
"Siskiyou County","County","1991","Annual","N","Final","19170","16630","2550","13.3"
"Solano County","County","1991","Annual","N","Final","166800","156300","10600","6.3"
"Sonoma County","County","1991","Annual","N","Final","212300","200400","11900","5.6"
"Stanislaus County","County","1991","Annual","N","Final","183900","156500","27400","14.9"
"Sutter County","County","1991","Annual","N","Final","34600","28700","5900","17.1"
"Tehama County","County","1991","Annual","N","Final","21240","18770","2470","11.6"
"Trinity County","County","1991","Annual","N","Final","5140","4390","750","14.6"
"Tulare County","County","1991","Annual","N","Final","153400","125300","28100","18.3"
"Tuolumne County","County","1991","Annual","N","Final","20060","18300","1760","8.8"
"Ventura County","County","1991","Annual","N","Final","367400","339300","28100","7.6"
"Yolo County","County","1991","Annual","N","Final","77200","71100","6100","7.9"
"Yuba County","County","1991","Annual","N","Final","22700","19500","3200","14"
"Anaheim-Santa Ana-Irvine MD","Metropolitan Area","1991","Annual","N","Final","1321800","1251300","70500","5.3"
"Bakersfield MSA","Metropolitan Area","1991","Annual","N","Final","265400","232700","32700","12.3"
"Chico MSA","Metropolitan Area","1991","Annual","N","Final","79500","71600","7900","9.9"
"El Centro MSA","Metropolitan Area","1991","Annual","N","Final","49100","36200","12900","26.3"
"Fresno MSA","Metropolitan Area","1991","Annual","N","Final","337900","292100","45800","13.5"
"Hanford-Corcoran MSA","Metropolitan Area","1991","Annual","N","Final","38700","33800","5000","12.8"
"Los Angeles-Long Beach-Glendale MD","Metropolitan Area","1991","Annual","N","Final","4449200","4092500","356600","8"
"Madera MSA","Metropolitan Area","1991","Annual","N","Final","44400","37700","6700","15.1"
"Merced MSA","Metropolitan Area","1991","Annual","N","Final","77500","65300","12200","15.8"
"Modesto MSA","Metropolitan Area","1991","Annual","N","Final","183900","156500","27400","14.9"
"Napa MSA","Metropolitan Area","1991","Annual","N","Final","55300","52100","3200","5.8"
"Oakland-Hayward-Berkeley MD","Metropolitan Area","1991","Annual","N","Final","1108700","1047700","61000","5.5"
"Oxnard-Thousand Oaks-Ventura MSA","Metropolitan Area","1991","Annual","N","Final","367400","339300","28100","7.6"
"Redding MSA","Metropolitan Area","1991","Annual","N","Final","68400","60900","7500","11"
"Riverside-San Bernardino-Ontario MSA","Metropolitan Area","1991","Annual","N","Final","1197500","1087200","110200","9.2"
"Sacramento--Roseville--Arden-Arcade MSA","Metropolitan Area","1991","Annual","N","Final","762700","710700","52000","6.8"
"Salinas MSA","Metropolitan Area","1991","Annual","N","Final","171800","152100","19600","11.4"
"San Diego-Carlsbad MSA","Metropolitan Area","1991","Annual","N","Final","1209800","1133000","76900","6.4"
"San Francisco-Redwood City-South San Francisco MD","Metropolitan Area","1991","Annual","N","Final","773300","736600","36700","4.7"
"San Jose-Sunnyvale-Santa Clara MSA","Metropolitan Area","1991","Annual","N","Final","864900","812700","52200","6"
"San Luis Obispo-Paso Robles-Arroyo Grande MSA","Metropolitan Area","1991","Annual","N","Final","96400","90500","5900","6.1"
"San Rafael MD","Metropolitan Area","1991","Annual","N","Final","130900","125800","5100","3.9"
"Santa Cruz-Watsonville MSA","Metropolitan Area","1991","Annual","N","Final","137500","125200","12300","9"
"Santa Maria-Santa Barbara MSA","Metropolitan Area","1991","Annual","N","Final","195300","183600","11700","6"
"Santa Rosa MSA","Metropolitan Area","1991","Annual","N","Final","212300","200400","11900","5.6"
"Stockton-Lodi MSA","Metropolitan Area","1991","Annual","N","Final","232000","203900","28200","12.1"
"Vallejo-Fairfield MSA","Metropolitan Area","1991","Annual","N","Final","166800","156300","10600","6.3"
"Visalia-Porterville MSA","Metropolitan Area","1991","Annual","N","Final","153400","125300","28100","18.3"
"Yuba City MSA","Metropolitan Area","1991","Annual","N","Final","57300","48200","9100","15.9"
"California","State","1992","Annual","N","Final","15303900","13871400","1432500","9.4"
"Alameda County","County","1992","Annual","N","Final","676800","632100","44700","6.6"
"Alpine County","County","1992","Annual","N","Final","350","290","60","16.7"
"Amador County","County","1992","Annual","N","Final","12710","11530","1170","9.2"
"Butte County","County","1992","Annual","N","Final","82000","72200","9700","11.9"
"Calaveras County","County","1992","Annual","N","Final","15030","13210","1810","12.1"
"Colusa County","County","1992","Annual","N","Final","8230","6440","1780","21.7"
"Contra Costa County","County","1992","Annual","N","Final","441900","412700","29200","6.6"
"Del Norte County","County","1992","Annual","N","Final","9850","8320","1530","15.5"
"El Dorado County","County","1992","Annual","N","Final","67200","61500","5700","8.6"
"Fresno County","County","1992","Annual","N","Final","352700","297600","55100","15.6"
"Glenn County","County","1992","Annual","N","Final","11400","9230","2170","19"
"Humboldt County","County","1992","Annual","N","Final","58900","53000","5900","10.1"
"Imperial County","County","1992","Annual","N","Final","54000","37300","16700","30.9"
"Inyo County","County","1992","Annual","N","Final","7170","6340","830","11.6"
"Kern County","County","1992","Annual","N","Final","273000","229900","43100","15.8"
"Kings County","County","1992","Annual","N","Final","40600","34400","6200","15.3"
"Lake County","County","1992","Annual","N","Final","22340","19450","2890","12.9"
"Lassen County","County","1992","Annual","N","Final","10770","9530","1240","11.5"
"Los Angeles County","County","1992","Annual","N","Final","4445500","4007900","437600","9.8"
"Madera County","County","1992","Annual","N","Final","46900","39000","7900","16.8"
"Marin County","County","1992","Annual","N","Final","130400","123800","6600","5.1"
"Mariposa County","County","1992","Annual","N","Final","7160","6530","630","8.8"
"Mendocino County","County","1992","Annual","N","Final","39780","34870","4910","12.3"
"Merced County","County","1992","Annual","N","Final","83000","68500","14500","17.5"
"Modoc County","County","1992","Annual","N","Final","4010","3490","520","12.9"
"Mono County","County","1992","Annual","N","Final","5820","5200","620","10.7"
"Monterey County","County","1992","Annual","N","Final","177100","155000","22100","12.5"
"Napa County","County","1992","Annual","N","Final","57500","53300","4200","7.2"
"Nevada County","County","1992","Annual","N","Final","39580","36210","3370","8.5"
"Orange County","County","1992","Annual","N","Final","1330300","1241000","89300","6.7"
"Placer County","County","1992","Annual","N","Final","93400","85500","7900","8.5"
"Plumas County","County","1992","Annual","N","Final","9680","8320","1360","14"
"Riverside County","County","1992","Annual","N","Final","576100","507400","68700","11.9"
"Sacramento County","County","1992","Annual","N","Final","528800","484800","44000","8.3"
"San Benito County","County","1992","Annual","N","Final","21900","18100","3800","17.4"
"San Bernardino County","County","1992","Annual","N","Final","668500","603900","64600","9.7"
"San Diego County","County","1992","Annual","N","Final","1213100","1124600","88500","7.3"
"San Francisco County","County","1992","Annual","N","Final","404700","376900","27800","6.9"
"San Joaquin County","County","1992","Annual","N","Final","239400","205500","34000","14.2"
"San Luis Obispo County","County","1992","Annual","N","Final","99600","92100","7500","7.5"
"San Mateo County","County","1992","Annual","N","Final","368000","349100","18900","5.1"
"Santa Barbara County","County","1992","Annual","N","Final","193000","178600","14400","7.5"
"Santa Clara County","County","1992","Annual","N","Final","846400","788100","58300","6.9"
"Santa Cruz County","County","1992","Annual","N","Final","139000","125400","13500","9.7"
"Shasta County","County","1992","Annual","N","Final","72900","63300","9600","13.2"
"Sierra County","County","1992","Annual","N","Final","1710","1520","190","11.2"
"Siskiyou County","County","1992","Annual","N","Final","19400","16340","3060","15.8"
"Solano County","County","1992","Annual","N","Final","173100","160200","12800","7.4"
"Sonoma County","County","1992","Annual","N","Final","217100","201700","15400","7.1"
"Stanislaus County","County","1992","Annual","N","Final","191800","160100","31800","16.6"
"Sutter County","County","1992","Annual","N","Final","34100","27400","6700","19.7"
"Tehama County","County","1992","Annual","N","Final","23020","20050","2970","12.9"
"Trinity County","County","1992","Annual","N","Final","5270","4380","890","16.9"
"Tulare County","County","1992","Annual","N","Final","154200","127100","27100","17.6"
"Tuolumne County","County","1992","Annual","N","Final","20750","18400","2350","11.3"
"Ventura County","County","1992","Annual","N","Final","372900","339300","33600","9"
"Yolo County","County","1992","Annual","N","Final","81800","75000","6800","8.3"
"Yuba County","County","1992","Annual","N","Final","22400","18500","3900","17.4"
"Anaheim-Santa Ana-Irvine MD","Metropolitan Area","1992","Annual","N","Final","1330300","1241000","89300","6.7"
"Bakersfield MSA","Metropolitan Area","1992","Annual","N","Final","273000","229900","43100","15.8"
"Chico MSA","Metropolitan Area","1992","Annual","N","Final","82000","72200","9700","11.9"
"El Centro MSA","Metropolitan Area","1992","Annual","N","Final","54000","37300","16700","30.9"
"Fresno MSA","Metropolitan Area","1992","Annual","N","Final","352700","297600","55100","15.6"
"Hanford-Corcoran MSA","Metropolitan Area","1992","Annual","N","Final","40600","34400","6200","15.3"
"Los Angeles-Long Beach-Glendale MD","Metropolitan Area","1992","Annual","N","Final","4445500","4007900","437600","9.8"
"Madera MSA","Metropolitan Area","1992","Annual","N","Final","46900","39000","7900","16.8"
"Merced MSA","Metropolitan Area","1992","Annual","N","Final","83000","68500","14500","17.5"
"Modesto MSA","Metropolitan Area","1992","Annual","N","Final","191800","160100","31800","16.6"
"Napa MSA","Metropolitan Area","1992","Annual","N","Final","57500","53300","4200","7.2"
"Oakland-Hayward-Berkeley MD","Metropolitan Area","1992","Annual","N","Final","1118800","1044800","73900","6.6"
"Oxnard-Thousand Oaks-Ventura MSA","Metropolitan Area","1992","Annual","N","Final","372900","339300","33600","9"
"Redding MSA","Metropolitan Area","1992","Annual","N","Final","72900","63300","9600","13.2"
"Riverside-San Bernardino-Ontario MSA","Metropolitan Area","1992","Annual","N","Final","1244500","1111300","133200","10.7"
"Sacramento--Roseville--Arden-Arcade MSA","Metropolitan Area","1992","Annual","N","Final","771300","706800","64500","8.4"
"Salinas MSA","Metropolitan Area","1992","Annual","N","Final","177100","155000","22100","12.5"
"San Diego-Carlsbad MSA","Metropolitan Area","1992","Annual","N","Final","1213100","1124600","88500","7.3"
"San Francisco-Redwood City-South San Francisco MD","Metropolitan Area","1992","Annual","N","Final","772700","726000","46700","6"
"San Jose-Sunnyvale-Santa Clara MSA","Metropolitan Area","1992","Annual","N","Final","868300","806200","62100","7.2"
"San Luis Obispo-Paso Robles-Arroyo Grande MSA","Metropolitan Area","1992","Annual","N","Final","99600","92100","7500","7.5"
"San Rafael MD","Metropolitan Area","1992","Annual","N","Final","130400","123800","6600","5.1"
"Santa Cruz-Watsonville MSA","Metropolitan Area","1992","Annual","N","Final","139000","125400","13500","9.7"
"Santa Maria-Santa Barbara MSA","Metropolitan Area","1992","Annual","N","Final","193000","178600","14400","7.5"
"Santa Rosa MSA","Metropolitan Area","1992","Annual","N","Final","217100","201700","15400","7.1"
"Stockton-Lodi MSA","Metropolitan Area","1992","Annual","N","Final","239400","205500","34000","14.2"
"Vallejo-Fairfield MSA","Metropolitan Area","1992","Annual","N","Final","173100","160200","12800","7.4"
"Visalia-Porterville MSA","Metropolitan Area","1992","Annual","N","Final","154200","127100","27100","17.6"
"Yuba City MSA","Metropolitan Area","1992","Annual","N","Final","56500","45900","10600","18.8"
"California","State","1993","Annual","N","Final","15262300","13809100","1453200","9.5"
"Alameda County","County","1993","Annual","N","Final","677600","632200","45400","6.7"
"Alpine County","County","1993","Annual","N","Final","360","310","50","13.1"
"Amador County","County","1993","Annual","N","Final","12820","11630","1200","9.3"
"Butte County","County","1993","Annual","N","Final","82500","72600","9900","12"
"Calaveras County","County","1993","Annual","N","Final","14950","13130","1820","12.2"
"Colusa County","County","1993","Annual","N","Final","8480","6630","1840","21.7"
"Contra Costa County","County","1993","Annual","N","Final","442100","412800","29400","6.6"
"Del Norte County","County","1993","Annual","N","Final","9750","8370","1390","14.2"
"El Dorado County","County","1993","Annual","N","Final","67400","61500","5900","8.7"
"Fresno County","County","1993","Annual","N","Final","361700","305600","56100","15.5"
"Glenn County","County","1993","Annual","N","Final","11360","9380","1970","17.4"
"Humboldt County","County","1993","Annual","N","Final","59600","53700","5900","9.9"
"Imperial County","County","1993","Annual","N","Final","55300","39000","16300","29.4"
"Inyo County","County","1993","Annual","N","Final","7110","6310","790","11.2"
"Kern County","County","1993","Annual","N","Final","273300","230100","43300","15.8"
"Kings County","County","1993","Annual","N","Final","40900","34700","6300","15.3"
"Lake County","County","1993","Annual","N","Final","22880","19810","3060","13.4"
"Lassen County","County","1993","Annual","N","Final","10930","9570","1360","12.4"
"Los Angeles County","County","1993","Annual","N","Final","4347900","3913200","434700","10"
"Madera County","County","1993","Annual","N","Final","47900","40100","7800","16.3"
"Marin County","County","1993","Annual","N","Final","130700","123900","6700","5.2"
"Mariposa County","County","1993","Annual","N","Final","7240","6510","730","10.1"
"Mendocino County","County","1993","Annual","N","Final","40350","35790","4560","11.3"
"Merced County","County","1993","Annual","N","Final","83200","68800","14500","17.4"
"Modoc County","County","1993","Annual","N","Final","3930","3390","540","13.6"
"Mono County","County","1993","Annual","N","Final","5980","5410","560","9.4"
"Monterey County","County","1993","Annual","N","Final","176700","153600","23100","13.1"
"Napa County","County","1993","Annual","N","Final","58000","53400","4600","7.9"
"Nevada County","County","1993","Annual","N","Final","40210","36800","3400","8.5"
"Orange County","County","1993","Annual","N","Final","1326900","1236300","90600","6.8"
"Placer County","County","1993","Annual","N","Final","93100","85600","7600","8.1"
"Plumas County","County","1993","Annual","N","Final","9680","8210","1470","15.2"
"Riverside County","County","1993","Annual","N","Final","582100","511400","70700","12.1"
"Sacramento County","County","1993","Annual","N","Final","529600","485300","44300","8.4"
"San Benito County","County","1993","Annual","N","Final","22300","18700","3600","16.1"
"San Bernardino County","County","1993","Annual","N","Final","675900","608700","67200","9.9"
"San Diego County","County","1993","Annual","N","Final","1218100","1122500","95500","7.8"
"San Francisco County","County","1993","Annual","N","Final","406100","377300","28800","7.1"
"San Joaquin County","County","1993","Annual","N","Final","241900","207600","34300","14.2"
"San Luis Obispo County","County","1993","Annual","N","Final","101200","92900","8300","8.2"
"San Mateo County","County","1993","Annual","N","Final","368400","349600","18800","5.1"
"Santa Barbara County","County","1993","Annual","N","Final","192900","177900","15000","7.8"
"Santa Clara County","County","1993","Annual","N","Final","846900","788000","58900","7"
"Santa Cruz County","County","1993","Annual","N","Final","140300","125600","14700","10.5"
"Shasta County","County","1993","Annual","N","Final","73200","63900","9300","12.6"
"Sierra County","County","1993","Annual","N","Final","1810","1610","200","11.1"
"Siskiyou County","County","1993","Annual","N","Final","19310","16300","3000","15.6"
"Solano County","County","1993","Annual","N","Final","174700","160400","14300","8.2"
"Sonoma County","County","1993","Annual","N","Final","220100","205500","14600","6.6"
"Stanislaus County","County","1993","Annual","N","Final","194200","161400","32800","16.9"
"Sutter County","County","1993","Annual","N","Final","34700","28200","6500","18.8"
"Tehama County","County","1993","Annual","N","Final","23310","20230","3080","13.2"
"Trinity County","County","1993","Annual","N","Final","5180","4320","870","16.8"
"Tulare County","County","1993","Annual","N","Final","157700","129000","28700","18.2"
"Tuolumne County","County","1993","Annual","N","Final","20620","18150","2460","11.9"
"Ventura County","County","1993","Annual","N","Final","375300","341300","34000","9.1"
"Yolo County","County","1993","Annual","N","Final","82700","76000","6700","8.1"
"Yuba County","County","1993","Annual","N","Final","23000","19000","4000","17.5"
"Anaheim-Santa Ana-Irvine MD","Metropolitan Area","1993","Annual","N","Final","1326900","1236300","90600","6.8"
"Bakersfield MSA","Metropolitan Area","1993","Annual","N","Final","273300","230100","43300","15.8"
"Chico MSA","Metropolitan Area","1993","Annual","N","Final","82500","72600","9900","12"
"El Centro MSA","Metropolitan Area","1993","Annual","N","Final","55300","39000","16300","29.4"
"Fresno MSA","Metropolitan Area","1993","Annual","N","Final","361700","305600","56100","15.5"
"Hanford-Corcoran MSA","Metropolitan Area","1993","Annual","N","Final","40900","34700","6300","15.3"
"Los Angeles-Long Beach-Glendale MD","Metropolitan Area","1993","Annual","N","Final","4347900","3913200","434700","10"
"Madera MSA","Metropolitan Area","1993","Annual","N","Final","47900","40100","7800","16.3"
"Merced MSA","Metropolitan Area","1993","Annual","N","Final","83200","68800","14500","17.4"
"Modesto MSA","Metropolitan Area","1993","Annual","N","Final","194200","161400","32800","16.9"
"Napa MSA","Metropolitan Area","1993","Annual","N","Final","58000","53400","4600","7.9"
"Oakland-Hayward-Berkeley MD","Metropolitan Area","1993","Annual","N","Final","1119700","1045000","74700","6.7"
"Oxnard-Thousand Oaks-Ventura MSA","Metropolitan Area","1993","Annual","N","Final","375300","341300","34000","9.1"
"Redding MSA","Metropolitan Area","1993","Annual","N","Final","73200","63900","9300","12.6"
"Riverside-San Bernardino-Ontario MSA","Metropolitan Area","1993","Annual","N","Final","1257900","1120000","137900","11"
"Sacramento--Roseville--Arden-Arcade MSA","Metropolitan Area","1993","Annual","N","Final","772900","708500","64400","8.3"
"Salinas MSA","Metropolitan Area","1993","Annual","N","Final","176700","153600","23100","13.1"
"San Diego-Carlsbad MSA","Metropolitan Area","1993","Annual","N","Final","1218100","1122500","95500","7.8"
"San Francisco-Redwood City-South San Francisco MD","Metropolitan Area","1993","Annual","N","Final","774500","726900","47600","6.1"
"San Jose-Sunnyvale-Santa Clara MSA","Metropolitan Area","1993","Annual","N","Final","869100","806700","62500","7.2"
"San Luis Obispo-Paso Robles-Arroyo Grande MSA","Metropolitan Area","1993","Annual","N","Final","101200","92900","8300","8.2"
"San Rafael MD","Metropolitan Area","1993","Annual","N","Final","130700","123900","6700","5.2"
"Santa Cruz-Watsonville MSA","Metropolitan Area","1993","Annual","N","Final","140300","125600","14700","10.5"
"Santa Maria-Santa Barbara MSA","Metropolitan Area","1993","Annual","N","Final","192900","177900","15000","7.8"
"Santa Rosa MSA","Metropolitan Area","1993","Annual","N","Final","220100","205500","14600","6.6"
